gpm,"{'name': 'the guy from the yop commercial', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7c/7cd60d73cdcf9ca10ee617f8e66c3d1eb4a6b67e_medium.jpg', 'hero': 12, 'match': 'https://www.dotabuff.com/matches/6406963492', 'value': 887}"
xpm,"{'name': 'Gamer Goof', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/75/752eb38c3b0bc6f74708ec2c3d44d00bda41edde_medium.jpg', 'hero': 10, 'match': 'https://www.dotabuff.com/matches/6406965166', 'value': 959}"
kda,"{'name': 'Tree', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1f/1fb4952a2b336fa29c8cbb0f58b4296c14bc8836_medium.jpg', 'hero': 45, 'match': 'https://www.dotabuff.com/matches/6406960155', 'value': 37}"
camps,"{'name': 'Sambo', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/69/695f5a5ce0931aec79be259e60c12c2c38a8f3c3_medium.jpg', 'hero': 112, 'match': 'https://www.dotabuff.com/matches/6406973127', 'value': 9}"
herodamage,"{'name': 'Flesh Canoe', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/45/45608742c3147dcb5ec3de216fdf107db1ef3e38_medium.jpg', 'hero': 22, 'match': 'https://www.dotabuff.com/matches/6406966432', 'value': 80657}"
stuns,"{'name': 'Lava', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/d3/d33aab3017b4baf9631c554aba8b8ac953d0d3f0_medium.jpg', 'hero': 108, 'match': 'https://www.dotabuff.com/matches/6406972893', 'value': 274.9103}"
towerdamage,"{'name': 'SaulantoWisconsino', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ba/ba3f058ac6a64af590c1364d83be70e2053ec3a7_medium.jpg', 'hero': 11, 'match': 'https://www.dotabuff.com/matches/6406919757', 'value': 21735}"
lane,"{'name': 'Gachimuchi Superhero Kanye West', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/f3/f3353bd4cf332f9fa25bbac85c29f4e0cdf5fa94_medium.jpg', 'hero': 15, 'match': 'https://www.dotabuff.com/matches/6406973127', 'value': 1.001616814874697}"
deward,"{'name': 'Spirited', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6e/6e6a5729f547c33736298e03c9201b808c3b4981_medium.jpg', 'hero': 50, 'match': 'https://www.dotabuff.com/matches/6406970153', 'value': 14}"
apm,"{'name': 'sardar azmoun', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1d/1ddb1fb085fbd947db513ed68a230df5c1640d3c_medium.jpg', 'hero': 74, 'match': 'https://www.dotabuff.com/matches/6406971511', 'value': 480}"
courier,"{'name': 'hanmingzyy', 'avatar': 'https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/03/03396141e17e9cab7151abd1dc59cf8dec22a2c5_medium.jpg', 'hero': 99, 'match': 'https://www.dotabuff.com/matches/6406923278', 'value': 3}"
